,Unnamed: 0,Date,Country_Region,Province_State,GDP,Urbanization,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
3976,4090,3/15/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,7.7,39.0,9.3,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3977,4091,3/17/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,7.6,78.0,9.3,3.81,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
3978,4092,2/24/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,8.4,48.0,6.0,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3979,4093,2/24/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,8.9,50.0,5.7,0.0,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3980,4094,2/29/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,0.3,42.0,19.1,0.0,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3981,4095,2/22/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,0.1,48.0,4.2,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3982,4096,3/6/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,4.8,79.0,13.8,6.35,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3983,4097,3/14/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,10.6,29.0,19.1,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
3984,4098,2/25/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,8.8,83.0,6.1,3.05,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3985,4099,3/20/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.7453,-74.0535,12.0,83.0,7.8,0.0,6.8578947368421055,57.55263157894736,12.35,0.1794736842105263,2/25/2020,1.0,0.0
3986,4100,2/16/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,1.6,63.0,9.1,0.0,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
3987,4101,2/24/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,7.8,58.0,5.7,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
