,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
93481,3/4/2020,Bulgaria,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,42.7339,25.4858,16.1,56.0,21.2,0.0,8.194736842105266,73.97368421052632,11.123684210526314,0.0,3/19/2020,1.3160740129524924,3.0
93489,2/19/2020,United Arab Emirates,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,24.0,54.0,22.5,60.0,6.0,0.0,23.131578947368418,61.73684210526316,12.028947368421056,0.0,3/22/2020,1.189207115002721,2.0
93493,2/26/2020,Ghana,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,7.9465,-1.0232,28.4,26.0,3.7,0.0,30.055263157894736,45.44736842105263,3.744736842105263,0.0,3/21/2020,1.0,1.0
93501,3/2/2020,Cabo Verde,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,16.5388,-23.0418,23.4,70.0,41.9,0.0,22.942857142857147,68.96428571428571,24.839285714285715,0.0,3/5/2020,0.0,0.0
93517,3/9/2020,Costa Rica,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,9.7489,-83.7534,24.2,50.0,35.0,0.0,23.87105263157894,56.18421052631579,28.80526315789474,0.0,3/21/2020,1.189207115002721,2.0
93521,2/26/2020,Kosovo,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,42.6026,20.903000000000002,11.5,48.0,19.8,0.0,6.307894736842104,60.36842105263158,11.055263157894737,0.0,2/22/2020,0.0,0.0
93545,3/4/2020,Latvia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,56.8796,24.6032,5.6,89.0,14.9,0.0,3.0642857142857145,78.75,13.939285714285713,0.0,3/1/2020,0.0,0.0
93553,3/9/2020,Poland,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,51.9194,19.1451,4.2,70.0,8.1,0.0,4.853571428571428,74.25,14.55357142857143,0.0,3/22/2020,1.6265765616977856,7.0
93561,2/20/2020,Dominica,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,15.415,-61.371,24.0,77.0,13.9,0.0,24.63947368421053,77.5,11.515789473684213,0.0,2/18/2020,0.0,0.0
93593,3/10/2020,Afghanistan,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.0,65.0,7.7,84.0,9.2,6.35,13.713157894736845,47.078947368421055,5.6842105263157885,0.8555263157894736,3/22/2020,1.0,1.0
93609,3/7/2020,Saint Vincent and the Grenadines,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,12.9843,-61.2872,27.0,73.0,25.9,0.0,26.596666666666668,75.86666666666666,19.0,0.0,3/2/2020,0.0,0.0
93613,3/14/2020,Cuba,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,22.0,-80.0,25.5,75.0,14.9,0.0,24.265789473684205,71.73684210526316,13.392105263157893,0.0,3/22/2020,1.0,1.0
