,Unnamed: 0,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases,GDP
1616,1616,2/18/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.07,-81.4279,25.9,74,12.9,0.0,23.1,76.30434783,11.93478261,0.0,3/16/2020,1.0,0.0,
1617,1617,2/27/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5927,-81.8224,9.9,57,15.3,0.0,17.22105263,71.55263158,11.81578947,2.933947368,3/15/2020,1.0,0.0,
1618,1618,3/08/2020,US,Florida,Confirmed,2,0,3/23/2020 8:00:09 AM,3/22/2020,27.9904,-82.3018,14.6,70,8.7,0.0,19.13947368,78.10526316,6.339473684,0.0,3/08/2020,1.0,2.0,
1619,1619,3/04/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.1901,-80.3659,24.5,79,11.9,0.0,22.58421053,70.07894737,15.85789474,1.831315789,3/09/2020,1.0,3.0,
1620,1620,2/21/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.8764,-82.7779,15.0,78,25.8,0.0,21.16052632,68.63157895,14.95789474,0.487894737,3/20/2020,1.0,0.0,
1621,1621,3/04/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.663,-81.9535,22.6,86,10.2,0.0,21.81842105,69.55263158,12.91052632,0.180263158,3/08/2020,1.0,2.0,
1622,1622,3/05/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.8764,-82.7779,25.3,80,25.7,0.0,21.16052632,68.63157895,14.95789474,0.487894737,3/20/2020,1.0,0.0,
1623,1623,2/15/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,28.3232,-82.4319,18.7,60,16.7,0.0,19.07105263,69.39473684,10.16578947,0.748421053,2/25/2020,1.0,0.0,
1624,1624,2/20/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.8946,-81.9098,23.6,87,12.9,0.0,20.17368421,75.55263158,13.65789474,0.100263158,3/09/2020,1.0,1.0,
1625,1625,2/19/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.8946,-81.9098,24.0,85,8.6,0.0,20.17368421,75.55263158,13.65789474,0.100263158,3/09/2020,1.0,1.0,
1626,1626,2/25/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.7938,-82.4944,18.3,93,11.0,16.76,16.80526316,76.94736842,9.589473684,1.029473684,3/02/2020,1.0,0.0,
